participant_idx,trial_number,condition,reaction_time,movement_time,first_cohort_n50,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,power_of_horizontal_cursor_motion_at_a_given_frequency_bin,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,pannel_a,unnamed_16,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,power_of_vertical_cursor_motion_at_a_given_frequency_bin,unnamed_26,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33,pannel_b,unnamed_35,unnamed_36,unnamed_37,unnamed_38,unnamed_39
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666667,0.7777777777777779,0.8888888888888891,1.0000000000000002,1.1111111111111114,1.2222222222222223,1.3333333333333337,1.4444444444444449,1.555555555555556,1.6666666666666672,1.7777777777777783,1.8888888888888895,2.0000000000000004,Freq (HZ),0.1111111111111111,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.6666666666666667,0.7777777777777779,0.8888888888888891,1.0000000000000002,1.1111111111111114,1.2222222222222223,1.3333333333333337,1.4444444444444449,1.555555555555556,1.6666666666666672,1.7777777777777783,1.8888888888888895,2.0000000000000004,Freq (HZ)
NaN,NaN,NaN,NaN,NaN,S1,M,1.0857263,3.581719,1.8317492,2.8358104,2.2204386,1.4110145,0.71719875,0.56661379,0.46130742,0.32563371,0.30112333,0.23536723,0.36695723,0.23302117,0.22443699,0.27737847,0.20661997,0.1277818,NaN,1.0857263,3.581719,1.8317492,2.8358104,2.2204386,1.4110145,0.71719875,0.56661379,0.46130742,0.32563371,0.30112333,0.23536723,0.36695723,0.23302117,0.22443699,0.27737847,0.20661997,0.1277818,NaN
NaN,NaN,NaN,NaN,NaN,S2,M,1.1417272,3.7923397,1.9210026,2.8049861,2.3895786,1.4347922,0.68472402,0.45448692,0.43772669,0.46990087,0.36623381,0.30160955,0.34896063,0.30222945,0.26943974,0.25327643,0.21623843,0.26958716,NaN,1.1417272,3.7923397,1.9210026,2.8049861,2.3895786,1.4347922,0.68472402,0.45448692,0.43772669,0.46990087,0.36623381,0.30160955,0.34896063,0.30222945,0.26943974,0.25327643,0.21623843,0.26958716,NaN
NaN,NaN,NaN,NaN,NaN,S3,M,1.0932562,3.7523611,1.8371533,2.6780318,2.2750067,1.536608,0.61921728,0.55110977,0.55218582,0.40678262,0.44045294,0.29355732,0.42295902,0.36315066,0.17430007,0.30324571,0.19020962,0.20355185,NaN,1.0932562,3.7523611,1.8371533,2.6780318,2.2750067,1.536608,0.61921728,0.55110977,0.55218582,0.40678262,0.44045294,0.29355732,0.42295902,0.36315066,0.17430007,0.30324571,0.19020962,0.20355185,NaN
NaN,NaN,NaN,NaN,NaN,S4,M,1.1723537,3.9334109,1.9895828,3.0118571,2.5336997,1.5995109,0.73884522,0.51852726,0.50499275,0.44200508,0.38191161,0.32793586,0.27945479,0.29270951,0.24622939,0.25749058,0.20137093,0.1888818,NaN,1.1723537,3.9334109,1.9895828,3.0118571,2.5336997,1.5995109,0.73884522,0.51852726,0.50499275,0.44200508,0.38191161,0.32793586,0.27945479,0.29270951,0.24622939,0.25749058,0.20137093,0.1888818,NaN
NaN,NaN,NaN,NaN,NaN,S5,M,1.1436935,3.4197322,1.9504402,2.6971534,2.28116,1.4296149,0.68667568,0.50868327,0.39712931,0.31261412,0.22110953,0.22916352,0.24729366,0.18573648,0.19018721,0.19460968,0.19450569,0.17597069,NaN,1.1436935,3.4197322,1.9504402,2.6971534,2.28116,1.4296149,0.68667568,0.50868327,0.39712931,0.31261412,0.22110953,0.22916352,0.24729366,0.18573648,0.19018721,0.19460968,0.19450569,0.17597069,NaN
NaN,NaN,NaN,NaN,NaN,S6,M,1.1301397,3.7298631,1.6923458,2.6014661,2.1845386,1.4676862,0.67777736,0.56290336,0.61961732,0.26244379,0.28070217,0.35978014,0.26727563,0.33848224,0.22692893,0.31123168,0.17662635,0.29644921,NaN,1.1301397,3.7298631,1.6923458,2.6014661,2.1845386,1.4676862,0.67777736,0.56290336,0.61961732,0.26244379,0.28070217,0.35978014,0.26727563,0.33848224,0.22692893,0.31123168,0.17662635,0.29644921,NaN
NaN,NaN,NaN,NaN,NaN,S7,M,1.1702528,3.8503537,1.8786732,2.8855539,2.3836684,1.4112734,0.76655922,0.412178,0.39748757,0.3088379,0.38187907,0.29737085,0.27486632,0.3287137,0.21507244,0.25421663,0.17289912,0.17546621,NaN,1.1702528,3.8503537,1.8786732,2.8855539,2.3836684,1.4112734,0.76655922,0.412178,0.39748757,0.3088379,0.38187907,0.29737085,0.27486632,0.3287137,0.21507244,0.25421663,0.17289912,0.17546621,NaN
NaN,NaN,NaN,NaN,NaN,S8,M,1.1864573,3.8712544,1.8609424,2.8541827,2.4458547,1.4218359,0.67335626,0.48094717,0.56722322,0.31481839,0.36611065,0.26438396,0.24549957,0.16564036,0.21193693,0.23572984,0.18583047,0.2476373,NaN,1.1864573,3.8712544,1.8609424,2.8541827,2.4458547,1.4218359,0.67335626,0.48094717,0.56722322,0.31481839,0.36611065,0.26438396,0.24549957,0.16564036,0.21193693,0.23572984,0.18583047,0.2476373,NaN
NaN,NaN,NaN,NaN,NaN,S9,M,1.1880628,3.9400555,1.9193622,2.5631369,2.2366711,1.4368495,0.68967926,0.48031172,0.5458072,0.33001754,0.37186544,0.27673854,0.36811354,0.26245881,0.21025339,0.33091056,0.15362174,0.2183963,NaN,1.1880628,3.9400555,1.9193622,2.5631369,2.2366711,1.4368495,0.68967926,0.48031172,0.5458072,0.33001754,0.37186544,0.27673854,0.36811354,0.26245881,0.21025339,0.33091056,0.15362174,0.2183963,NaN
NaN,NaN,NaN,NaN,NaN,S10,M,0.97288886,3.642064,1.6242361,2.6763572,2.2623763,1.4557082,0.73684974,0.47730405,0.51581089,0.31715762,0.3788901,0.31104568,0.28992868,0.3720361,0.28008824,0.34272992,0.16318523,0.18953118,NaN,0.97288886,3.642064,1.6242361,2.6763572,2.2623763,1.4557082,0.73684974,0.47730405,0.51581089,0.31715762,0.3788901,0.31104568,0.28992868,0.3720361,0.28008824,0.34272992,0.16318523,0.18953118,NaN
