participant_idx,trial_number,condition,reaction_time,movement_time,first_cohort_n50,unnamed_1,unnamed_2,unnamed_3,unnamed_4,handtarget_distance_cm,unnamed_6,unnamed_7,unnamed_8,unnamed_9,pannel_a,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,handtarget_lag_ms,unnamed_17,unnamed_18,unnamed_19,unnamed_20,pannel_b,unnamed_22,unnamed_23,unnamed_24,residual_handtarget_distance_cm_after_lag_compensation,unnamed_26,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,pannel_c,unnamed_33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S1,M,1.7054673,1.5387526,1.4469279,1.7036116,1.3911189,1.2461636,1.528882,1.6658524,1.3492434,1.5680361,NaN,51,31,51,86,67,51,57,48,58,73,NaN,1.4562926,1.4625553,1.1164156,1.0936665,0.97996902,1.0012724,1.1951595,1.4481548,0.97201555,1.1020548
NaN,NaN,NaN,NaN,NaN,S2,M,1.4659001,1.2239368,1.7621332,1.5240961,1.2516837,1.3525868,1.4547285,1.4058891,1.3617805,1.2328639,NaN,44,36,71,64,41,19,19,44,47,47,NaN,1.3330455,1.1272902,1.5012207,1.2478185,1.0995505,1.3239979,1.4043927,1.2195207,1.1836343,1.042219
NaN,NaN,NaN,NaN,NaN,S3,M,1.2976241,1.7399363,1.4869928,1.4362864,1.3852653,1.4323093,1.3101807,1.5979799,1.3691905,1.5406492,NaN,22,11,25,33,16,15,14,0,5,11,NaN,1.1848231,1.7064392,1.4440987,1.3611027,1.3543608,1.4103204,1.2799546,1.5890643,1.3603505,1.513849
NaN,NaN,NaN,NaN,NaN,S4,M,1.3742747,0.96256022,1.4394995,1.1635809,1.1870822,0.99495512,1.144729,1.5334468,1.2332284,1.313132,NaN,18,0,1,25,19,10,25,34,13,26,NaN,1.3690494,0.96263127,1.4395633,1.0875727,1.1559461,0.9729877,1.0645471,1.4228183,1.2111221,1.2471075
NaN,NaN,NaN,NaN,NaN,S5,M,1.1136754,0.74988607,0.91497895,0.79761663,0.83094613,0.76479705,0.74624378,0.95100293,0.82742457,1.0637808,NaN,30,6,38,17,27,10,6,0,13,37,NaN,1.0251859,0.73822327,0.74839874,0.78032484,0.71769048,0.76071578,0.73822795,0.95096605,0.79816337,0.92833052
NaN,NaN,NaN,NaN,NaN,S6,M,1.659805,2.1481167,1.7627481,1.7561749,1.7880274,1.6661993,1.6483599,1.5028156,1.6980882,1.6003204,NaN,62,73,61,83,48,43,62,54,49,68,NaN,1.4512346,1.9825759,1.4527359,1.3912035,1.6072448,1.4745492,1.4289819,1.296903,1.5009859,1.181247
NaN,NaN,NaN,NaN,NaN,S7,M,1.6511154,1.2663508,1.3737928,1.2321657,1.5335862,1.3311043,1.4787063,1.4806817,1.4060257,1.5182785,NaN,54,55,57,59,55,58,47,49,58,68,NaN,1.447389,0.92801491,1.1143398,0.83181657,1.2400196,1.041082,1.3262953,1.3107228,1.0706556,1.2294453
NaN,NaN,NaN,NaN,NaN,S8,M,1.2766201,1.8209125,1.5363005,1.3439268,1.4570537,1.4655617,1.5712871,1.490779,1.2072313,1.3736906,NaN,35,61,50,55,47,55,29,40,37,34,NaN,1.1456539,1.635996,1.2908151,1.091013,1.2451534,1.2155886,1.4894443,1.3284541,1.0930743,1.2541084
NaN,NaN,NaN,NaN,NaN,S9,M,2.3833541,1.7717648,1.5111617,2.172131,1.7329554,1.9058627,1.7784733,1.8700471,2.0596053,1.8263808,NaN,147,81,66,92,90,78,92,95,110,88,NaN,1.3067324,1.3232225,1.3141377,1.8659041,1.1120011,1.5610183,1.1818677,1.3088259,1.2985622,1.2717256
NaN,NaN,NaN,NaN,NaN,S10,M,3.2731883,1.8387587,2.095921,1.7148349,2.3326614,1.4373757,1.9797684,2.053807,1.6024599,1.8166334,NaN,178,60,85,36,121,62,96,101,78,84,NaN,2.1554476,1.6400592,1.6095913,1.6346144,1.5557209,1.1075876,1.5719899,1.3449909,1.1368482,1.300102
NaN,NaN,NaN,NaN,NaN,S11,M,2.1098021,2.2152145,1.5693606,1.7806711,1.6302769,1.9444048,1.6440909,1.7331494,1.7408826,2.731559,NaN,79,91,70,76,78,90,79,70,72,97,NaN,1.7513329,1.592828,1.2274712,1.3488043,1.1211198,1.4063624,1.1553619,1.3668216,1.250363,2.3159873
NaN,NaN,NaN,NaN,NaN,S12,M,1.6383345,1.5579133,1.2652102,1.287405,1.2307772,1.2615871,1.1044714,1.2605866,1.6148216,1.3829333,NaN,63,49,39,40,46,50,33,32,56,59,NaN,1.269126,1.3142796,1.1430947,1.1152558,1.0367237,0.97086734,0.97661068,1.149057,1.3667619,1.0862028
NaN,NaN,NaN,NaN,NaN,S13,M,1.933462,2.1107579,2.4278706,1.8086955,1.5151048,1.5989343,1.3759119,1.9080584,1.8317703,1.7611205,NaN,54,23,8,32,31,0,15,11,36,37,NaN,1.685657,2.0738505,2.4246632,1.7429646,1.4781116,1.5982135,1.3462925,1.8824482,1.7214872,1.6150919
