participant_idx,trial_number,condition,reaction_time,movement_time,second_cohort_n77,unnamed_1,unnamed_2,unnamed_3,handtarget_distance_cm,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,handtarget_lag_ms,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,residual_handtarget_distance_cm_after_lag_compensation,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S1,M,1.2758092,1.5303939,1.3267139,1.0918541,1.3454272,1.3603005,1.22079,1.0328121,1.4867527,1.2740364,NaN,22,-2,37,4,28,23,27,23,24,37,NaN,1.2375172,1.5271174,1.1875125,1.08886,1.2409857,1.3213525,1.1452813,0.99923743,1.447353,1.1143835
NaN,NaN,NaN,NaN,NaN,S2,M,2.1413322,1.6802259,1.6398229,1.4475611,1.3968469,1.638186,1.5223124,1.2490534,1.5949355,1.4888982,NaN,26,44,28,35,7,28,30,32,21,33,NaN,2.0794797,1.576873,1.5328132,1.3318892,1.3789903,1.5669058,1.4771836,1.1379124,1.5659127,1.3639997
NaN,NaN,NaN,NaN,NaN,S3,M,1.6553796,1.7127412,1.5520672,1.5993942,1.5353822,1.3688181,1.4614019,1.6083984,1.54091,1.5271714,NaN,51,76,60,59,63,35,42,73,53,53,NaN,1.4809878,1.2070269,1.2427358,1.3748055,1.2604411,1.2737414,1.3658561,1.1193043,1.2790271,1.3052162
NaN,NaN,NaN,NaN,NaN,S4,M,1.4831561,1.4835534,1.5337995,1.2708275,1.4012101,1.4742814,1.3769595,1.5572251,1.451289,1.4439625,NaN,72,59,72,48,45,55,47,62,61,62,NaN,0.94856752,1.1765646,1.0082328,1.0068559,1.2315455,1.1963013,1.1690771,1.1947302,1.0871941,1.1684003
NaN,NaN,NaN,NaN,NaN,S5,M,1.6603825,1.5183858,1.2679319,1.3849934,1.3507271,1.2802418,1.4582088,1.5351162,1.3831126,1.3068315,NaN,57,38,24,13,17,34,32,41,33,27,NaN,1.3993654,1.4003208,1.2363606,1.3700814,1.3488083,1.1895027,1.3367423,1.3669206,1.3156207,1.2331268
NaN,NaN,NaN,NaN,NaN,S6,M,1.9004064,1.5228959,1.3038709,1.6032833,1.8429943,1.3606037,1.3824768,1.8894839,1.805712,1.4131755,NaN,45,43,39,35,39,34,28,44,68,51,NaN,1.809691,1.4027428,1.149981,1.5008674,1.6544674,1.2534454,1.3184282,1.7492571,1.4872436,1.1431389
NaN,NaN,NaN,NaN,NaN,S7,M,1.6381762,1.8152205,1.7058995,1.2238321,1.3788142,1.5217779,1.6114159,1.5951053,1.0395659,1.3476348,NaN,23,50,38,45,16,54,34,2,28,-10,NaN,1.6154766,1.6259862,1.6260184,1.0224989,1.3557671,1.3576512,1.5276031,1.5966149,0.96588551,1.3490366
NaN,NaN,NaN,NaN,NaN,S8,M,1.3842115,1.2389304,1.2490355,1.2356844,1.645498,1.2424398,1.4569697,1.4260416,1.1879726,1.4968462,NaN,47,40,18,34,45,30,20,41,45,50,NaN,1.2361282,1.1026061,1.2069376,1.146886,1.4544987,1.1350526,1.3684028,1.2779238,1.0042145,1.2068094
NaN,NaN,NaN,NaN,NaN,S9,M,2.1180934,2.0277044,2.1545798,1.8980565,2.1347879,1.6910532,2.1089919,1.9122031,2.0487849,2.1630061,NaN,68,85,83,86,90,77,95,68,87,80,NaN,1.7106959,1.4686762,1.6359771,1.36544,1.6360612,1.2635401,1.5246551,1.5394473,1.5060952,1.7640172
NaN,NaN,NaN,NaN,NaN,S10,M,1.9061336,2.0695333,1.7463492,1.9269557,1.6524891,1.8355528,1.9327541,1.8810481,2.0568459,1.8109671,NaN,-24,21,-11,0,5,6,-2,53,23,43,NaN,1.83750512,2.0270169,1.80207942,2.0499679,1.6376968,1.8400693,1.9316671,1.6680151,2.0250783,1.7097332
NaN,NaN,NaN,NaN,NaN,S11,M,1.5034699,1.2772646,1.4723937,1.3634906,1.5722445,1.2114877,1.3390117,1.3232157,1.5475662,1.3164604,NaN,42,10,40,36,43,47,35,3,48,56,NaN,1.4350866,1.2647256,1.3524553,1.2378545,1.4190711,0.98775824,1.1911252,1.3196989,1.2832563,0.95197162
NaN,NaN,NaN,NaN,NaN,S12,M,2.27364,1.5393084,2.1487345,1.9739567,1.1308446,1.8392906,1.8591772,1.1649206,1.5188323,1.5551232,NaN,30,34,31,48,19,34,42,35,35,58,NaN,2.238354,1.4674639,2.0327669,1.776505,1.0934767,1.7694885,1.7036996,1.038874,1.408024,1.2625962
NaN,NaN,NaN,NaN,NaN,S13,M,1.8896746,1.3866987,1.343938,1.3260339,1.2910378,1.2393398,1.4678222,1.4291352,1.114972,1.2663939,NaN,-25,17,38,39,42,36,52,45,39,44,NaN,1.9311526,1.3458955,1.2298962,1.1837706,1.1179468,1.0985788,1.2672926,1.2819581,0.92165015,1.047414
