participant_idx,trial_number,condition,reaction_time,movement_time,first_cohort_n50,unnamed_1,unnamed_2,unnamed_3,unnamed_4,mean_tan_velocity_of_cursor_cms,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,sd_tan_velocity_of_cursor_cms,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,number_of_submovement_per_trial,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S1,M,18.993784,18.961975,19.003438,18.953181,18.102025,17.578588,17.595993,17.73895,17.121241,17.690337,NaN,9.3207189,8.6796277,8.4850754,7.4251995,8.3177799,8.1652722,9.6204996,9.0009677,7.3098521,7.2665318,NaN,57,61,61,55,60,64,68,62,58,66
NaN,NaN,NaN,NaN,NaN,S2,M,17.605301,18.337442,18.228,17.672653,18.955514,19.306233,20.026911,18.204156,17.906308,17.718911,NaN,9.97212,7.0547719,8.9644323,9.6416821,8.9480117,9.8131789,9.8840794,9.8567197,8.538335,7.4915921,NaN,54,59,67,62,61,56,57,60,64,64
NaN,NaN,NaN,NaN,NaN,S3,M,16.510999,18.269168,17.451811,17.67704,19.256661,17.978645,16.415856,18.553577,17.705881,19.700398,NaN,7.7521241,8.0950176,8.3006556,7.5516138,8.2835633,8.0988772,7.5725143,8.0399787,8.759047,9.9256235,NaN,64,64,57,66,65,60,64,70,60,60
NaN,NaN,NaN,NaN,NaN,S4,M,20.286321,17.859057,19.673967,19.255791,19.161838,17.792624,18.290138,20.474794,18.367725,20.352903,NaN,8.4040775,8.9600306,10.153544,8.90402,9.5640299,7.7952404,8.5778021,9.3743339,9.4505867,9.5181374,NaN,65,62,58,62,64,66,61,63,58,58
NaN,NaN,NaN,NaN,NaN,S5,M,17.265254,16.517351,16.698609,17.499513,16.593638,16.872929,17.688037,17.698509,17.408877,16.891632,NaN,8.6772615,8.9145367,7.2728009,8.479561,7.3728575,9.1481685,8.4218666,8.2110974,8.4533701,8.6674547,NaN,61,75,73,72,72,72,68,69,70,70
NaN,NaN,NaN,NaN,NaN,S6,M,18.572051,19.275151,18.771981,17.750844,18.34939,17.778514,17.323827,17.74438,18.251227,19.147309,NaN,8.9646527,10.514575,8.6588116,8.8831529,9.3103122,9.2346092,7.7972111,8.9707684,10.232139,9.0642539,NaN,39,46,48,51,48,45,48,50,53,52
NaN,NaN,NaN,NaN,NaN,S7,M,17.732621,18.840996,17.482676,17.421663,17.631371,17.134866,18.904153,18.721788,18.248297,17.148448,NaN,9.1318997,7.1314429,7.1597277,7.1290352,9.2404471,9.7011391,8.704528,10.972765,10.054546,9.5340631,NaN,58,62,61,66,59,56,65,57,54,61
NaN,NaN,NaN,NaN,NaN,S8,M,17.914161,18.127327,18.146406,17.805426,17.766339,18.00368,18.87506,18.69737,16.160779,17.204119,NaN,8.9116107,8.3963457,8.1240249,7.9683098,8.0382547,8.2223561,9.8395658,8.9533045,6.2304311,8.5039361,NaN,56,58,62,59,56,68,59,57,66,56
NaN,NaN,NaN,NaN,NaN,S9,M,16.644596,18.273205,18.408087,18.720599,17.333469,16.940599,16.924846,17.743218,17.056813,16.95329,NaN,8.0506444,8.0033441,9.1631833,9.374861,7.9042202,10.10521,8.2038867,8.8660067,8.3134781,8.8587956,NaN,52,57,51,52,51,55,55,46,51,49
NaN,NaN,NaN,NaN,NaN,S10,M,17.730875,20.683195,21.02308,19.296798,18.134767,18.220958,16.882203,17.985667,16.651663,17.9431,NaN,9.39544,10.008372,10.947176,8.4135968,7.9419508,7.2089166,7.5477512,8.144685,7.6870082,7.7592244,NaN,57,53,54,63,61,62,57,61,63,56
NaN,NaN,NaN,NaN,NaN,S11,M,20.561919,19.085535,17.530809,17.858244,17.58371,17.189018,17.505279,17.72815,18.017022,20.790705,NaN,12.434519,10.461821,10.628155,10.701407,7.8895901,9.0038484,8.8523665,11.087858,9.4472043,20.952593,NaN,52,53,56,53,58,51,62,52,53,56
NaN,NaN,NaN,NaN,NaN,S12,M,18.418184,17.576791,17.999284,17.294045,18.103214,17.044719,17.423742,16.986681,17.008671,16.746319,NaN,7.2786422,8.3911644,8.7209497,7.893958,7.4941714,8.285446,8.1970809,8.8848143,7.4035031,6.6816938,NaN,58,56,54,53,55,56,54,54,54,50
NaN,NaN,NaN,NaN,NaN,S13,M,19.410737,19.027878,20.510442,17.599294,17.947038,16.984537,18.296033,20.802606,17.334159,19.234217,NaN,10.415352,12.046533,13.36233,13.943388,12.221929,12.677259,11.508209,15.318592,13.142132,11.960141,NaN,53,63,64,62,59,59,57,56,62,61
NaN,NaN,NaN,NaN,NaN,S14,M,17.279917,18.793767,18.930625,21.159411,19.119618,19.59047,18.939522,19.777728,19.68504,18.490698,NaN,9.6988284,12.698354,13.297795,12.264036,9.7629748,11.949412,11.028006,13.1146,12.969658,12.372054,NaN,62,63,59,59,59,56,51,52,56,51
